id	filename	md5	size	state
2b910e19-170e-4f6a-b5a5-6ff4c218aa41	2b910e19-170e-4f6a-b5a5-6ff4c218aa41/446db9e9-d5aa-48ba-a84d-cf6a7d8f8fc4.htseq.counts.gz	c3356c1c9c843e76b6a9539db6f7551c	254470	validated
38afecfc-b0ba-4c5b-89d6-a00ab973096c	38afecfc-b0ba-4c5b-89d6-a00ab973096c/94bedc10-62c2-4bd2-bad9-0ec08c9bf5e9.htseq.counts.gz	0e27f49313a781e5e547961e5b22874d	255915	validated
47bd5d86-a4a5-40d6-bd8e-43f043694b5c	47bd5d86-a4a5-40d6-bd8e-43f043694b5c/3c8923de-0d68-4137-a5d9-657a77cac893.htseq.counts.gz	8900bd5b14816364c64cc79d550edca4	257387	validated
56ccc143-4ff6-41d0-82cb-9a5dd9100502	56ccc143-4ff6-41d0-82cb-9a5dd9100502/2eecdef2-2e2a-450f-ad52-f053f97275a3.htseq.counts.gz	a4f3eaa138ea68ee03ade7bdb5958d75	257189	validated
5fe3f7ed-5a24-43fe-8ea9-f5d4f39cceba	5fe3f7ed-5a24-43fe-8ea9-f5d4f39cceba/80972822-9505-4450-8648-220cfda9f695.htseq.counts.gz	1b5558a804a07d24cf613abd99e767b1	253175	validated
695dced8-3a3e-4573-ae09-748b6afc891d	695dced8-3a3e-4573-ae09-748b6afc891d/dc03b9a1-8313-4705-a185-c42ddf9870b7.htseq.counts.gz	94fda3482354f1f5e3e67c3a72cb761f	258711	validated
7883f52d-28f2-4dd1-9fd3-ffec7c636cbb	7883f52d-28f2-4dd1-9fd3-ffec7c636cbb/6cb1791d-bda0-44de-ac3f-5405ba1ac5ec.htseq.counts.gz	a752c30f839eb16ecfb22f64985bc738	250608	validated
9947ce54-fc42-4f49-878d-00c1de395cd5	9947ce54-fc42-4f49-878d-00c1de395cd5/ecbe1717-b6b7-4359-b723-3bfc81c82f2d.htseq.counts.gz	b65a595d97f9d663c7dd9194f797d920	257491	validated
ab97b51a-501f-488e-a3fc-a90c1dacfabc	ab97b51a-501f-488e-a3fc-a90c1dacfabc/b7d3f454-f36e-4ad0-bb40-8728ca3b240d.htseq.counts.gz	9dfa695f03b5d145b8595b0e4ba39020	256722	validated
af091eb0-baf2-4d5f-9118-8a1a0dc896dc	af091eb0-baf2-4d5f-9118-8a1a0dc896dc/e84e835c-ce99-46bd-a50b-068cfb983143.htseq.counts.gz	6a817c12b51d0543ec8d1a1bb4f40c8a	252106	validated
b5cf3c87-169a-4c55-9654-ef557946fdce	b5cf3c87-169a-4c55-9654-ef557946fdce/d86c50f3-0eed-43e3-b089-2145c75ce7d0.htseq.counts.gz	7321fc5b3731ae1d20c29603d73d3d38	253027	validated
babec1f3-6d27-43db-8a70-785a5f09ea78	babec1f3-6d27-43db-8a70-785a5f09ea78/284f0774-1db5-4f86-a26c-0f967fa05d2f.htseq.counts.gz	472d1c3a5299540ab72294e490441cbb	260350	validated
bb7e8319-d99a-45c5-be2a-1ece9103718b	bb7e8319-d99a-45c5-be2a-1ece9103718b/327a6650-be57-412e-bc3a-3aaf68d44022.htseq.counts.gz	e6771178b5c7aa073954158f0c417d01	254423	validated
cbf14241-6479-4122-b3a4-c4662649a46d	cbf14241-6479-4122-b3a4-c4662649a46d/95bae25e-21b8-4b27-a2da-f6ab696f674a.htseq.counts.gz	6d55a49ab49616cbb7df35ba98d7427e	256998	validated
e436f0bf-b608-4535-8fe7-a0dd6462cee7	e436f0bf-b608-4535-8fe7-a0dd6462cee7/07b7d5d5-916e-4744-8366-9dbba5ee32bb.htseq.counts.gz	bf69edc7a462e70f305ebd6b3a8457ec	252391	validated
ec5f5efa-ac90-4c8c-931e-9d8997988fe2	ec5f5efa-ac90-4c8c-931e-9d8997988fe2/d8f60cfe-3faa-406f-8ed6-2bb201dc36f4.htseq.counts.gz	473f5bcf9df852c1fd3b2b09cb359fee	252025	validated
ed48c8a1-5eb6-41f6-b92c-f06c19cf2500	ed48c8a1-5eb6-41f6-b92c-f06c19cf2500/c4261805-d89d-4cf0-8dd6-24a8f504a9ed.htseq.counts.gz	7239437602777594841ca7c4c8f6f916	255337	validated
f9099347-6224-4cf5-b3f0-f0c641300959	f9099347-6224-4cf5-b3f0-f0c641300959/fe6c451e-0747-4a02-9d35-59d0a9f4a468.htseq.counts.gz	661808ca6ccd077ede3c0a1d1937bee6	257648	validated
fbdfa423-2c85-46d6-bcc7-16ef0b13747a	fbdfa423-2c85-46d6-bcc7-16ef0b13747a/a1218099-ef29-4229-a2ca-e4f69287f31a.htseq.counts.gz	7f19d911b4bc31c26b01f7c74cb6d22a	251868	validated
fe8b973d-6588-4436-8869-9b3656757d00	fe8b973d-6588-4436-8869-9b3656757d00/dc0592cf-5a96-4aed-86b2-eb7de5492b7c.htseq.counts.gz	7bec7fd851f2734e5559c73744bbd7a8	256421	validated
